SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
 ,Year, , , , , , ,degrees_north,degrees_east,kts,mb, , ,km,km, , , ,degrees_north,degrees_east, , ,kts,mb,1,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,mb,nmile,nmile,nmile,degrees_north,degrees_east,1,kts,mb, ,nmile,nmile, ,nmile,nmile,1,degrees_north,degrees_east,1,kts,mb,degrees_north,degrees_east, ,kts,mb,degrees_north,degrees_east, ,kts,mb,1,mb,mb,degrees_north,degrees_east, ,kts,mb,1,1,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,degrees_north,degrees_east, ,kts,mb,1,1,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,nmile,mb,nmile, , ,degrees_north,degrees_east,1,kts,mb,degrees_north,degrees_east,kts,mb,degrees_north,degrees_east, ,kts,mb,degrees_north,degrees_east, ,kts,mb,degrees_north,degrees_east,kts,mb,nmile,degrees_north,degrees_east, ,kts,mb,degrees_north,degrees_east, ,kts,mb,kts,kts,second,kts,second,ft,nmile,nmile,nmile,nmile,kts,degrees
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-27 03:00:00,TS,11.696,86.5939,25,1000,newdelhi,main,679,676,P___O_________, ,IO012008,11.62,86.4924, ,TD,27,1001,-1, , , , , , , , , , , , ,1008,210,60, , , , , , , , , , , , , , , , , , , , , , , ,12,87,D,25,1000,1.5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,320
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-27 06:00:00,TS,11.8,86.5333,25,998,newdelhi,main,676,663,O___O_________,jtwc_io,IO012008,11.7,86.3, ,TD,30,1000,-1, , , , , , , , , , , , ,1008,210,60, , , , , , , , , , , , , , , , , , , , , , , ,12,87,D,25,998,1.5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,309
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-27 09:00:00,TS,11.9629,86.2629,25,998,newdelhi,main,665,653,P___O_________, ,IO012008,11.935,86.0851, ,TD,32,998,-1, , , , , , , , , , , , ,1007,205,60, , , , , , , , , , , , , , , , , , , , , , , ,12,86.5,D,25,998,1.5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,313
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-27 12:00:00,TS,12.1,86.2,30,998,newdelhi,main,653,640,O___O_________,jtwc_io,IO012008,12.2,85.9, ,TS,35,996,0, , , , , , , , , , , , ,1006,200,60, , , , , , , , , , , , , , , , , , , , , , , ,12,86.5,DD,30,998,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,331
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-27 15:00:00,TS,12.1825,86.1387,30,994,newdelhi,main,640,600,P___O_________, ,IO012008,12.365,85.7775, ,TS,40,992,0, , , , , , , , , , , , ,1006,195,50, , , , , , , , , , , , , , , , , , , , , , , ,12,86.5,DD,30,994,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,319
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-27 18:00:00,TS,12.5,85.85,30,994,newdelhi,main,600,554,O___O_________,jtwc_io,IO012008,12.5,85.7, ,TS,45,989,0,45,45,45,45, , , , , , , , ,1006,190,40, , , , , , , , , , , , , , , , , , , , , , , ,12.5,86,DD,30,994,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,319
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-27 21:00:00,TS,12.825,85.5675,30,994,newdelhi,main,554,538,P___O_________, ,IO012008,12.65,85.635, ,TS,50,985,0,57,57,57,57,15,15,15,15, , , , ,1004,180,30, , , , , , , , , , , , , , , , , , , , , , , ,13,85.5,DD,30,994,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,324
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-28 00:00:00,TS,12.9,85.55,35,994,newdelhi,main,545,536,O___O_________,jtwc_io,IO012008,12.8,85.6, ,TS,55,982,0,70,70,70,70,30,30,30,30, , , , ,1003,170,20, , , , , , , , , , , , , , , , , , , , , , , ,13,85.5,CS,35,994,2.5,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0
2008117N11090,2008,22,NI,BB,NARGIS,2008-04-28 03:00:00,TS,12.9937,85.5575,40,994,newdelhi,main,536,536,P___O_________, ,IO012008,12.9875,85.615, ,TS,60,978,0,75,75,75,75,32,32,32,32, , , , ,1003,170,20, , , , , , , , , , , , , , , , , , , , , , , ,13,85.5,CS,40,994,2.5,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0
