datetime,SID,SEASON,NUMBER,BASIN,NAME,NATURE,USA_AGENCY,USA_LAT,USA_LON,USA_WIND,USA_PRES,USA_RMW
,,Year,,,,,,degrees_north,degrees_east,kts,mb,nmile
20080428T00,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,12.8,85.6,55,982,20
20080428T03,2008117N11090,2008,22,NI,NARGIS,TS,,12.9875,85.615,60,978,20
20080428T06,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,13.1,85.6,65,974,20
20080428T09,2008117N11090,2008,22,NI,NARGIS,TS,,13,85.4499,67,972,20
20080428T12,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,12.9,85.3,70,970,20
20080428T15,2008117N11090,2008,22,NI,NARGIS,TS,,13.0275,85.255,72,968,20
20080428T18,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,13.2,85.3,75,967,20
20080428T21,2008117N11090,2008,22,NI,NARGIS,TS,,13.2875,85.435,75,967,17
20080429T00,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,13.3,85.6,75,967,15
20080429T03,2008117N11090,2008,22,NI,NARGIS,TS,,13.1775,85.6926,75,967,15
20080429T06,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,13.1,85.8,75,967,15
20080429T09,2008117N11090,2008,22,NI,NARGIS,TS,,13.2475,85.9849,72,968,17
20080429T12,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,13.5,86.2,70,970,20
20080429T15,2008117N11090,2008,22,NI,NARGIS,TS,,13.75,86.4224,70,970,20
20080429T18,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,14,86.6,70,970,20
20080429T21,2008117N11090,2008,22,NI,NARGIS,TS,,14.215,86.6576,70,970,20
20080430T00,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,14.4,86.7,70,970,20
20080430T03,2008117N11090,2008,22,NI,NARGIS,TS,,14.5575,86.82,65,974,20
20080430T06,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,14.7,87,60,978,20
20080430T09,2008117N11090,2008,22,NI,NARGIS,TS,,14.85,87.22,62,976,20
20080430T12,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,15,87.5,65,974,20
20080430T15,2008117N11090,2008,22,NI,NARGIS,TS,,15.15,87.8275,65,974,17
20080430T18,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,15.3,88.2,65,974,15
20080430T21,2008117N11090,2008,22,NI,NARGIS,TS,,15.45,88.5925,65,974,15
20080501T00,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,15.6,89,65,974,15
20080501T03,2008117N11090,2008,22,NI,NARGIS,TS,,15.7724,89.3924,67,972,15
20080501T06,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,15.9,89.8,70,970,15
20080501T09,2008117N11090,2008,22,NI,NARGIS,TS,,15.9299,90.2351,85,959,15
20080501T12,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,15.9,90.7,100,948,15
20080501T15,2008117N11090,2008,22,NI,NARGIS,TS,,15.8499,91.1926,100,948,12
20080501T18,2008117N11090,2008,22,NI,NARGIS,TS,jtwc_io,15.8,91.7,100,948,10
20080501T21,2008117N11090,2008,22,NI,NARGIS,TS,,15.7849,92.2075,105,944,10
